Ветка BSC,Перспектива,KPI,Инициатива,Дата,План,Факт,Δ,Домен,Столбец 1,Столбец 2,Столбец 3,Столбец 4,Столбец 5,Столбец 6,Столбец 7,Столбец 8,Столбец 9,Столбец 10,Столбец 11,Столбец 12,Столбец 13
Рост выручки,Обучение и потенциал,CRM adoption,CRM внедрение + обучение,31.12.2025,"0,35","0,35",0,Цифровые продажи,,,,,,,,,,,,,
Рост выручки,Обучение и потенциал,CRM adoption,CRM внедрение + обучение,31.12.2027,"0,6","0,52","-0,08",Цифровые продажи,,,,,,,,,,,,,
Рост выручки,Обучение и потенциал,CRM adoption,CRM внедрение + обучение,31.12.2028,"0,85","0,78","-0,07",Цифровые продажи,,,,,,,,,,,,,
Рост выручки,Обучение и потенциал,CRM adoption,CRM внедрение + обучение,31.12.2029,"0,95",,,Цифровые продажи,,,,,,,,,,,,,
Рост выручки,Процессы,Время подготовки КП,CPQ система + автоматизация КП,31.12.2025,48,"48,00",0,Эффективность продаж,,,,,,,,,,,,,
Рост выручки,Процессы,Время подготовки КП,CPQ система + автоматизация КП,31.12.2027,24,"30,00",6,Эффективность продаж,,,,,,,,,,,,,
Рост выручки,Процессы,Время подготовки КП,CPQ система + автоматизация КП,31.12.2028,8,"12,00",4,Эффективность продаж,,,,,,,,,,,,,
Рост выручки,Процессы,Время подготовки КП,CPQ система + автоматизация КП,31.12.2029,2,,,Эффективность продаж,,,,,,,,,,,,,
Рост выручки,Клиенты,Conversion rate,CRM + лид-скоринг + аналитика,31.12.2025,"0,16","0,16",0,Рост продаж,,,,,,,,,,,,,
Рост выручки,Клиенты,Conversion rate,CRM + лид-скоринг + аналитика,31.12.2027,"0,26","0,22","-0,04",Рост продаж,,,,,,,,,,,,,
Рост выручки,Клиенты,Conversion rate,CRM + лид-скоринг + аналитика,31.12.2028,"0,31","0,28","-0,03",Рост продаж,,,,,,,,,,,,,
